network_enp0s3_rx,network_enp0s3_tx,network_enp0s3_cx,mem_active,mem_cached,mem_shared,cpu_system,cpu_softirq,cpu_ctx_switches,cpu_interrupts,cpu_soft_interrupts,%user,%idle,label
80580,80580,161160,2731753472,7699542016,4934844416,49.3,34.3,3701,7176,6457,16.3,0.1,normal
68220,68220,136440,2731753472,7699542016,4934844416,49.3,34.3,3701,7176,6457,16.3,0.1,normal
80760,80760,161520,2731753472,7699546112,4934848512,49.5,35.5,3316,7125,6323,15,0,normal
68400,68340,136740,2731753472,7699546112,4934848512,49.5,35.5,3316,7125,6323,15,0,normal
84540,84600,169140,2731757568,7699546112,4934848512,52.1,33.6,3475,7595,6823,14,0.4,normal
62340,62340,124680,2731757568,7699546112,4934848512,52.1,33.6,3475,7595,6823,14,0.4,normal
83160,83100,166260,2731757568,7699550208,4934852608,49.2,36.3,3320,6895,6189,14.5,0,normal
65460,65520,130980,2731757568,7699550208,4934852608,49.2,36.3,3320,6895,6189,14.5,0,normal
93752,93540,187292,2731761664,7699550208,4934852608,50.3,34,3601,7675,6977,15.5,0.2,normal
55560,55560,111120,2731761664,7699550208,4934852608,50.3,34,3601,7675,6977,15.5,0.2,normal
126240,126240,252480,2731765760,7699554304,4934856704,47.9,35.6,2968,5988,5444,16,0.4,normal
63660,63600,127260,2731765760,7699554304,4934856704,47.9,35.6,2968,5988,5444,16,0.4,normal
81600,81660,163260,2731769856,7699554304,4934856704,51.3,33.9,3162,7030,6398,14.5,0.3,normal
65918,65858,131776,2731769856,7699554304,4934856704,51.3,33.9,3162,7030,6398,14.5,0.3,normal
86340,86400,172740,2731769856,7699558400,4934860800,48.2,36,3918,7379,6770,15.8,0,normal
64140,64140,128280,2731769856,7699558400,4934860800,48.2,36,3918,7379,6770,15.8,0,normal
79200,79200,158400,2731778048,7699562496,4934864896,51.8,33.8,3157,6807,6123,14.3,0.1,normal
68700,68700,137400,2731778048,7699562496,4934864896,51.8,33.8,3157,6807,6123,14.3,0.1,normal
84180,84180,168360,2731778048,7699566592,4934868992,48.2,38.7,3460,7322,6573,12.7,0.4,normal
64800,64800,129600,2731778048,7699566592,4934868992,48.2,38.7,3460,7322,6573,12.7,0.4,normal
80100,80100,160200,2731782144,7699566592,4934868992,53,31.5,3036,6993,6326,15.3,0.3,normal
66960,66900,133860,2731782144,7699566592,4934868992,53,31.5,3036,6993,6326,15.3,0.3,normal
79680,79740,159420,2731782144,7699570688,4934873088,48.8,36.1,3124,6993,6286,15,0.1,normal
69720,69660,139380,2731782144,7699570688,4934873088,48.8,36.1,3124,6993,6286,15,0.1,normal
85740,85740,171480,2731786240,7699570688,4934873088,52.1,32.5,3349,7472,6753,15.1,0.4,normal
63300,63300,126600,2731786240,7699570688,4934873088,52.1,32.5,3349,7472,6753,15.1,0.4,normal
77040,76980,154020,2731786240,7699574784,4934877184,48.2,36.6,3006,6673,6061,15.2,0,normal
61980,62040,124020,2731786240,7699574784,4934877184,48.2,36.6,3006,6673,6061,15.2,0,normal
82787,81923,164710,2731802624,7699587072,4934889472,48.4,32.8,3801,7032,6395,18.3,0.5,confidentiality
70330,66744,137074,2731802624,7699587072,4934889472,48.4,32.8,3801,7032,6395,18.3,0.5,normal
87780,87840,175620,2731802624,7699591168,4934893568,50.7,36.1,3715,7360,6636,13.2,0,normal
60780,60720,121500,2731802624,7699591168,4934893568,50.7,36.1,3715,7360,6636,13.2,0,normal
82320,82320,164640,2731806720,7699591168,4934893568,52,32.7,3202,6947,6192,15.4,0,normal
63660,63720,127380,2731806720,7699591168,4934893568,52,32.7,3202,6947,6192,15.4,0,normal
80400,80400,160800,2731806720,7699595264,4934897664,48.9,37.1,3307,6989,6213,13.6,0.4,normal
66420,66420,132840,2731806720,7699595264,4934897664,48.9,37.1,3307,6989,6213,13.6,0.4,normal
80820,80820,161640,2731810816,7699595264,4934897664,52.1,32.8,3187,7096,6305,14.9,0.1,normal
68100,68100,136200,2731810816,7699595264,4934897664,52.1,32.8,3187,7096,6305,14.9,0.1,normal
79384,78900,158284,2731810816,7699599360,4934901760,51,35.2,3385,7170,6418,13.8,0,normal
69840,69840,139680,2731810816,7699599360,4934901760,51,35.2,3385,7170,6418,13.8,0,normal
78480,78540,157020,2731814912,7699599360,4934901760,50,33.9,3465,7120,6572,16,0.1,normal
65760,65700,131460,2731814912,7699599360,4934901760,50,33.9,3465,7120,6572,16,0.1,normal
80340,80400,160740,2731814912,7699603456,4934905856,52.2,33.3,3252,6976,6350,14.1,0.4,normal
68940,68880,137820,2731814912,7699603456,4934905856,52.2,33.3,3252,6976,6350,14.1,0.4,normal
80940,80940,161880,2731819008,7699603456,4934905856,47.2,36.6,3877,7105,6525,15.5,0.8,normal
68918,68918,137836,2731819008,7699603456,4934905856,47.2,36.6,3877,7105,6525,15.5,0.8,normal
86340,86340,172680,2731819008,7699607552,4934909952,52.2,34,3524,7502,6846,13.3,0.5,normal
62580,62640,125220,2731819008,7699607552,4934909952,52.2,34,3524,7502,6846,13.3,0.5,normal
88440,88380,176820,2731823104,7699607552,4934909952,50.2,36,3559,7335,6555,13.7,0.1,normal
56940,57000,113940,2731823104,7699607552,4934909952,50.2,36,3559,7335,6555,13.7,0.1,normal
89280,89220,178500,2731823104,7699611648,4934914048,53.6,31.8,3302,7111,6409,14.3,0.3,normal
57960,58020,115980,2731823104,7699611648,4934914048,53.6,31.8,3302,7111,6409,14.3,0.3,normal
78780,78780,157560,2731827200,7699611648,4934914048,48.9,36.2,3132,6518,5863,14.9,0,normal
71100,71100,142200,2731827200,7699611648,4934914048,48.9,36.2,3132,6518,5863,14.9,0,normal
79500,79500,159000,2731827200,7699611648,4934914048,51.9,33.7,3219,7187,6496,14.2,0.2,normal
71192,70920,142112,2731827200,7699611648,4934914048,51.9,33.7,3219,7187,6496,14.2,0.2,normal
94472,94320,188792,2731831296,7699615744,4934918144,47.1,38.1,3522,7846,7127,14.7,0,normal
56040,56040,112080,2731831296,7699615744,4934918144,47.1,38.1,3522,7846,7127,14.7,0,normal
89654,89342,178996,2731839488,7699623936,4934926336,47.8,32.9,3870,6980,6399,18.9,0.4,confidentiality
63392,59806,123198,2731839488,7699623936,4934926336,47.8,32.9,3870,6980,6399,18.9,0.4,normal
80580,80580,161160,2731847680,7699632128,4934934528,48.5,37.2,3444,6628,6042,14.3,0,normal
67058,67058,134116,2731847680,7699632128,4934934528,48.5,37.2,3444,6628,6042,14.3,0,normal
83640,83520,167160,2731847680,7699632128,4934934528,51.9,31.7,3272,7143,6496,16,0.4,normal
65760,65760,131520,2731847680,7699632128,4934934528,51.9,31.7,3272,7143,6496,16,0.4,normal
